document_id,project_id,project_name,publish_date,outlet,title,author
JKPOST0020130110e91a00012,P151,Medan–Kuala Namu toll road,2013-06-24,Tempo,Toll Road Hampered by Currency Rates,
TEMPOE0020130623e96o001xl,P181,Morowali nickel smelter,2013-07-24,The Jakarta Post,Eximbank eyes 25% lending growth,"Hans David Tampubolon, The Jakarta Post, Jakarta"
JKPOST0020130724e97o0001b,P029,General,2013-07-25,The Jakarta Post,"Bakrie companies see revenues decline, rating downgrade","Raras Cahyafitri, The Jakarta Post, Jakarta"
JKPOST0020130725e97p00019,P151,Medan–Kuala Namu toll road,2013-07-26,The Jakarta Post,Editorial: Air hub for western region,
JKPOST0020130726e97q0000e,P029,General,2013-07-29,The Jakarta Post,Eximbank expands overseas financing to help boost exports,"Tassia Sipahutar, The Jakarta Post, Jakarta"
JKPOST0020130729e97t0001b,P029,General,2013-09-12,The Jakarta Post,Jokowi blames red tape for stalled projects,"Corry Elyda, The Jakarta Post, Jakarta"
JKPOST0020130912e99c0000v,P029,General,2013-09-20,The Jakarta Post,"RI, China to step up bilateral ties, sign business deals worth $20b","Linda Yulisman, The Jakarta Post, Jakarta"
JKPOST0020130920e99k0000b,P110,Jakarta Monorail,2013-10-04,Tempo,Monorail Construction Kicks Off This Month,
TEMPOE0020131003e9a40035x,P029,General,2013-11-06,Tempo,Jokowi: Audit All Use of CSR Funds,
TEMPOE0020131106e9b6001gu,P110,Jakarta Monorail,2014-02-18,The Jakarta Post,Deputy Governor Ahok wary of Jakarta Monorail financial ability,"Corry Elyda , The Jakarta Post, Jakarta"
JKPOST0020140218ea2i00006,P110,Jakarta Monorail,2014-02-19,Tempo,No Deal on Monorail Support Beams,
TEMPOE0020140219ea2j001xh,P212,Transjakarta Chinese buses,2014-03-03,The Jakarta Post,Governor Jokowi receives report on Transjakarta graft case,
JKPOST0020140303ea3300004,P110,Jakarta Monorail,2014-03-06,The Jakarta Post,Monorail project faces yet more delays,"Sita W. Dewi, The Jakarta Post, Jakarta"
JKPOST0020140306ea360000z,P106,Indonesia Morowali Industrial Park,2014-03-19,The Jakarta Post,Sulawesi Mining to spend $1.04b more on smelter development,"Linda Yulisman, The Jakarta Post, Jakarta"
JKPOST0020140319ea3j0001d,P029,General,2014-03-29,The Jakarta Post,BRAU suffers $165m loss as coal demand remains sluggish,"Raras Cahyafitri, The Jakarta Post, Jakarta"
JKPOST0020140329ea3t0001f,P026,Dairi Prima Mineral zinc and lead project,2014-04-04,The Jakarta Post,BRMS suffers $58m loss amid plan to shift focus to RI,"Esther Samboh, The Jakarta Post, Jakarta"
JKPOST0020140404ea440001f,P212,Transjakarta Chinese buses,2014-05-14,The Jakarta Post,Jakarta will not pay for 531 Chinese buses,"Corry Elyda, The Jakarta Post, Jakarta"
JKPOST0020140514ea5e00007,P029,General,2014-06-05,The Jakarta Post,Bumi plans to extend bond maturity,
JKPOST0020140605ea650001b,P181,Morowali nickel smelter,2014-06-12,The Jakarta Post,Building smelters could be at the heart of quality jobs creation,"1,209 words"
JKPOST0020140612ea6c0000q,P196,Oki Pulp and Paper Mills,2014-06-23,The Jakarta Post,Tjiwi Kimia establishing pulp plant,
JKPOST0020140623ea6n00016,P196,Oki Pulp and Paper Mills,2014-06-27,The Jakarta Post,Tjiwi Kimia to pocket Rp 1.3t from rights issue,
JKPOST0020140627ea6r0001g,P029,General,2014-06-28,The Jakarta Post,BUMI jumps 15% following right issue announcement,"Raras Cahyafitri, The Jakarta Post, Jakarta"
JKPOST0020140628ea6s0001k,P029,General,2014-07-02,The Jakarta Post,BUMI shareholders green-light rights issue,
JKPOST0020140702ea720001g,P096,Gorontalo Minerals copper/gold project,2014-07-04,The Jakarta Post,"BUMI completes debt payment, BRMS sees interest from China","Anggi M. Lubis, The Jakarta Post, Jakarta"
JKPOST0020140704ea740001k,P143,Manado–Bitung toll road,2014-07-07,The Jakarta Post,Manado-Bitung toll road to be funded by loans from China,"Nadya Natahadibrata , The Jakarta Post, Jakarta"
JKPOST0020140707ea7700018,P029,General,2014-07-22,The Jakarta Post,Govt to develop industrial estates outside Java,"Linda Yulisman , The Jakarta Post, Jakarta"
JKPOST0020140722ea7m0002t,P029,General,2014-07-31,The Jakarta Post,Is Asia-Pacific private equity on the rebound?,
JKPOST0020140731ea7v0000r,P181,Morowali nickel smelter,2014-08-02,The Jakarta Post,LPEI to offer Rp 3.5t bonds in September,"Tassia Sipahutar, The Jakarta Post, Jakarta"
JKPOST0020140802ea8200016,P003,Asian Infrastructure Investment Bank (AIIB),2014-09-13,The Jakarta Post,Dark clouds and silver linings in Asia,
JKPOST0020140913ea9d0001a,P029,General,2014-09-21,Tempo,China Fines British Company 3 Billion Yuan,
TEMPOE0020140921ea9l001e1,P029,General,2014-09-26,The Jakarta Post,"Bumi delays rights issue, negotiates with lenders","Anggi M. Lubis, The Jakarta Post, Jakarta"
JKPOST0020140926ea9q0001i,P029,General,2014-10-02,The Jakarta Post,Comments on other issues: South China Sea conflict a real threat,
JKPOST0020141002eaa20000r,P029,General,2014-10-07,The Jakarta Post,Bumi seeks to settle debts as rights issue is slashed,"Anggi M. Lubis, The Jakarta Post, Jakarta"
